name ,variable,value,ci
KNN,F1_score,0.829,0.05
Logist,F1_score,0.901,0.041
SVM,F1_score,0.839,0.086
DTree,F1_score,0.871,0.062
Bayes,F1_score,0.893,0.063
Ada,F1_score,0.909,0.06
RFs,F1_score,0.861,0.088
MLP,F1_score,0.874,0.037
QDA,F1_score,0.886,0.051
KNN,Precision,0.896,0.098
Logist,Precision,0.876,0.099
SVM,Precision,0.917,0.111
DTree,Precision,0.774,0.117
Bayes,Precision,0.82,0.144
Ada,Precision,0.868,0.144
RFs,Precision,0.852,0.152
MLP,Precision,0.886,0.09
QDA,Precision,0.829,0.097
KNN,Recall,0.601,0.094
Logist,Recall,0.812,0.075
SVM,Recall,0.618,0.179
DTree,Recall,0.801,0.109
Bayes,Recall,0.852,0.135
Ada,Recall,0.849,0.103
RFs,Recall,0.703,0.096
MLP,Recall,0.703,0.032
QDA,Recall,0.815,0.112
