name,variable,value,ci
KNN,F1_score,0.845,0.027
Logist,F1_score,0.832,0.022
SVM,F1_score,0.83,0.025
DTree,F1_score,0.851,0.032
Bayes,F1_score,0.809,0.023
Ada,F1_score,0.935,0.012
RFs,F1_score,0.876,0.013
MLP,F1_score,0.811,0.02
QDA,F1_score,0.837,0.037
KNN,Precision,0.833,0.029
Logist,Precision,0.833,0.033
SVM,Precision,0.85,0.023
DTree,Precision,0.853,0.049
Bayes,Precision,0.792,0.021
Ada,Precision,0.949,0.03
RFs,Precision,0.871,0.022
MLP,Precision,0.808,0.07
QDA,Precision,0.827,0.012
KNN,Recall,0.836,0.044
Logist,Recall,0.801,0.066
SVM,Recall,0.775,0.066
DTree,Recall,0.828,0.03
Bayes,Recall,0.799,0.071
Ada,Recall,0.915,0.037
RFs,Recall,0.825,0.071
MLP,Recall,0.764,0.059
QDA,Recall,0.823,0.072
