name,variable,value,ci
KNN,F1_score,0.779,0.033
Logist,F1_score,0.476,0.074
SVM,F1_score,0.486,0.026
DTree,F1_score,0.815,0.03
Bayes,F1_score,0.73,0.033
Ada,F1_score,0.957,0.02
RFs,F1_score,0.739,0.036
MLP,F1_score,0.524,0.042
QDA,F1_score,0.791,0.038
KNN,Precision,0.835,0.052
Logist,Precision,0.782,0.057
SVM,Precision,0.903,0.244
DTree,Precision,0.687,0.066
Bayes,Precision,0.529,0.063
Ada,Precision,0.967,0.016
RFs,Precision,0.924,0.045
MLP,Precision,0.744,0.192
QDA,Precision,0.68,0.025
KNN,Recall,0.476,0.074
Logist,Recall,0.418,0.08
SVM,Recall,0.023,0.021
DTree,Recall,0.692,0.055
Bayes,Recall,0.543,0.078
Ada,Recall,0.881,0.058
RFs,Recall,0.375,0.084
MLP,Recall,0.744,0.192
QDA,Recall,0.597,0.097
